lon,lat
-73.9592414,40.782568499999996
-73.94881749999999,40.7771512
-73.9527208,40.7708399
-73.9654403,40.77029510000001
-73.9595169,40.7625466
-73.95182539999999,40.7716962
-73.9529386,40.7864669
-73.9529963,40.7805616
-73.9512294,40.7736507
-73.95555639999999,40.7867211
-73.95247119999999,40.77928199999999
-73.94486169999999,40.7765692
-73.95655099999999,40.768668
-73.9590985,40.7693325
-73.9580934,40.7663184
-73.95884889999999,40.7662487
-73.9647038,40.7645399
-73.95836179999999,40.7622836
-73.9615199,40.7640743
-73.957962,40.7631012
-73.9581623,40.77992709999999
-73.95182539999999,40.7716962
-73.9587691,40.7633074
-73.9584378,40.761988
-73.96632,40.76823600000001
-73.9592414,40.782568499999996
-73.95519399999999,40.787341
-73.9607108,40.7674236
-73.9472103,40.7736436
-73.95198610000001,40.774786
-73.9552923,40.7765679
-73.95198610000001,40.774786
-73.9533178,40.77798440000001
-73.9548331,40.7760397
-73.95382289999999,40.7772076
-73.9452127,40.7770046
-73.9609174,40.77939310000001
-73.94968999999999,40.7780468
-73.95065439999999,40.7789941
-73.94955,40.774654
-73.95124470000002,40.7685611
-73.9490552,40.7810163
-73.9516991,40.7855167
-73.95671589999999,40.7851022
-73.9490552,40.7810163
-73.9641525,40.7631779
-73.95267489999999,40.7818274
-73.9476236,40.7808386
-73.9510332,40.7843999
-73.961917,40.77820699999999
-73.959367,40.7783352
-73.9615373,40.7783818
-73.9560271,40.7861227
-73.9614455,40.7665635
-73.96872429999999,40.7670287
-73.9461311,40.7748209
-73.9533178,40.77798440000001
-73.9525371,40.77417
-73.9514523,40.7664226
-73.9559582,40.7772991
-73.9500115,40.7739264
-73.95237639999999,40.7758638
-73.94955,40.774654
-73.947991,40.7722887
-73.95581980000001,40.7747919
-73.9483928,40.7757696
-73.9454653,40.7733566
-73.9500115,40.7739264
-73.9538827,40.7712693
-73.952793,40.7716231
-73.9483928,40.7757696
-73.9517106,40.7755569
-73.9566248,40.7732855
-73.9530424,40.7833241
-73.9564898,40.7707681
-73.95862149999999,40.77042530000001
-73.9565896,40.7767042
-73.9561648,40.77622909999999
-73.95856409999999,40.7767343
-73.96872429999999,40.7670287
-73.96531089999999,40.7665778
-73.9528656,40.76758540000001
-73.95877899999999,40.780204
-73.94677399999999,40.781007
-73.9548752,40.7704513
-73.9548123,40.7700499
-73.94840429999999,40.783264
-73.95614189999999,40.7804112
-73.96171799999999,40.7634372
-73.95571090000001,40.767363
-73.9617134,40.7699248
-73.9507404,40.783266
-73.951852,40.7660999
-73.9550076,40.7800106
-73.9536102,40.7798788
-73.9567618,40.7763912
-73.9574003,40.7735677
-73.9664935,40.7670345
-73.94993020000001,40.76944960000001
-73.9517565,40.7759106
-73.953203,40.7782188
-73.9505824,40.7800477
-73.9699703,40.7633513
-73.9559544,40.7785105
-73.9615615,40.7677772
-73.9612597,40.7693291
-73.9461311,40.7748209
-73.94716439999999,40.7819304
-73.9519402,40.7823786
-73.9541903,40.7758711
-73.95575149999999,40.775475900000004
-73.9797998,40.7845613
-73.95497089999999,40.77798809999999
-73.9615615,40.7677772
-73.9580016,40.7776476
-73.9536102,40.7798788
-73.9531341,40.7805427
-73.94830089999999,40.7795561
-73.94830089999999,40.7795561
